StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_NPS_GROUP,Q2,Q2.1,Q2.2,Q2.3,Q3.0_1,Q3.0_2,Q3.0_3,Q3.0_4,Q4.0_1,Q4.0_2,Q4.0_3,Q4.0_4,Q4.0_5,Q5.0_1,Q5.0_2,Q5.0_3,Q5.0_4,Q5.0_5,Q6.0,Q7.0,Q8.0,Q16
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I found it intellectually engaging and stimulating,"To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I found it had clear expectations, including assessment requirements",To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I felt it was informed by the latest research and practice,To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I felt the learning resources were helpful,"To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - Overall, I had a very good learning experience","Using a scale of 0 to 10, where 0 means very unlikely and 10 means very likely, how likely are you to recommend Melbourne MicroCerts to a friend or colleague? - Group","Using a scale of 0 to 10, where 0 means very unlikely and 10 means very likely, how likely are you to recommend Melbourne MicroCerts to a friend or colleague?",Why did you give this rating? Please specify.,Why did you give this rating? Please specify.,Why did you give this rating? Please specify.,"Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I received valuable feedback on my learning progress","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I had opportunities   to meaningfully interact and engage with peers","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I could manage the learning workload within the timeframe","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I am satisfied with the level of industry representation","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I learnt new ideas, approaches and/or skills","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I learnt to apply knowledge to practice","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I was challenged in my way of thinking","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I have developed skills which will help me in the workplace","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I improved my understanding of concepts and principles in the field",To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They allowed me to demonstrate what I had learned,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They increased my understanding of core concepts,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They were applicable to my current workplace,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They were applicable to my future intended workplace,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They had grading criteria that I could easily understand,How will you apply the concepts learned in this Melbourne MicroCert to your current or future intended workplace? Please provide an example.,What were the best aspects of this Melbourne MicroCert?,What aspects of this Melbourne MicroCert do you believe should be improved?,"Please tick if you consent to the possible use of your response to questions 6 and 7 for marketing purposes. e.g. testimonials, reviews"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID14_NPS_GROUP""}","{""ImportId"":""QID14""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID16""}"
2025-05-17 18:44:49,2025-05-17 18:45:55,IP Address,100,66,True,2025-05-17 18:45:56,R_4pwYyu86ejTiMs9,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,"Very good course, should be mandatory for all practitioners",Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,,,,
2025-05-17 23:28:24,2025-05-17 23:33:14,IP Address,100,290,True,2025-05-17 23:33:15,R_9KZRo64QG9H9Tgd,anonymous,EN,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Neither agree nor disagree,Promoter,10,,,"the opportunity to be provided a certification from the University of Melbourne for this area of expertise is a fantastic opportunity that everyone operating within the disability sector should engage with, particularly to increase their understanding of the roles of PBS Practitioners. ",Neither agree nor disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Slightly disagree,Strongly agree,"understanding the importance of person-centred language and asking future clients what language they would prefer, particularly around autism. ","the assessments. ","understanding that there are numerous contexts with evidence-based information regarding the areas within autism, and autism spectrum disorder is still a recognised disorder within the DSM-5 that many people consider to be validating, reassuring and neuro-affirming, and that being an ""autistic"" may not be the best approach. Further assessments should consider that a diagnosis could also be considered neuro-affirming for a client. ",I consent
2025-05-18 01:36:41,2025-05-18 01:37:28,IP Address,100,47,True,2025-05-18 01:37:28,R_4JTLy6Er6TVz47T,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,content,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
2025-05-18 07:09:41,2025-05-18 07:16:29,IP Address,100,407,True,2025-05-18 07:16:29,R_90czbH4wYJ79buq,anonymous,EN,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Passive,7,,It was an informative course for anyone not familiar with ASD,,Strongly disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neither agree nor disagree,,,"The cert is designed to inform neurotypical practitioners but therefore did not extend my knowledge or skills as an Autistic practitioner. I had hoped to learn to improve my practice so that I am less reliant on my own experiences when making decisions/judgements/assessments etc ",
2025-05-18 15:54:15,2025-05-18 16:10:06,IP Address,100,951,True,2025-05-18 16:10:07,R_9QhzBS9GMvYjNWj,anonymous,EN,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Promoter,10,,,"I enjoyed the course, great to upskill and at no cost felt very lucky",Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,"Consider Autism culture ",Professionals in the field running the course,Communication between groups - more encouragement of this,I consent
2025-05-18 16:08:44,2025-05-18 17:28:55,IP Address,100,4810,True,2025-05-18 17:28:56,R_90u9lT9JbXwxoPd,anonymous,EN,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Passive,7,,"I feel that when it comes to writing in a certain way, we are encouraged to do this in my work place and always consider perspective.  if you don't have time to collaborate during work hours it could be difficult to manage as some people were unavailable outside of their workhours, which can prove difficult when you are in a role where there are expectations of minimum hours to be worked (and billed) meaning you find yourself having capacity for collaboration limited to after work hours ",,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,N/A,Strongly agree,N/A,Strongly agree,mindful of language used and collaboration process,engaging with other pracs / people involved in some capacity in behaviour support - seeing how others do things etc,"feedback for assessment one should be provided before assessment two is due as the two assessments are linked, and if assessment one was not ontrack, it could mean assessment two is also off track",I consent
2025-05-20 01:25:06,2025-05-20 01:26:54,IP Address,100,108,True,2025-05-20 01:26:55,R_9FRjxa2NKeNlGOG,anonymous,EN,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Passive,8,,"Straight forward ",,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"The proactive strategies ","The collaboration ","The assessments ",
2025-05-18 21:39:12,2025-05-18 21:39:20,IP Address,14,7,False,2025-05-25 21:39:22,R_4HU6DLj8DQSqudz,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-27 17:05:00,2025-05-27 17:08:25,IP Address,100,204,True,2025-05-27 17:08:25,R_4cpTRnRin5KY6YB,anonymous,EN,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Neuroaffirming practice ","Assessment ","Group work ",
2025-05-27 18:18:17,2025-05-27 18:31:33,IP Address,100,796,True,2025-05-27 18:31:34,R_4tan5XY4rAhRXB7,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Promoter,9,,,It is very likely that i do recommend as i think itis a great professional development for those who think they require it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Through my role as a PBS practitioner ",the assignments - learning and understanding,group discussions,I consent
2025-05-28 16:40:49,2025-05-28 16:48:20,IP Address,100,450,True,2025-05-28 16:48:21,R_4aRok3dXqM8cR9u,anonymous,EN,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Promoter,10,,,Informative and good opportunity to network,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,Slightly agree,Will utilize these skills in practice and also guide those I supervise,Opportunity to network,Grades for assessment 1 (unable to see until after course completion). Evening lectures?,I consent
2025-05-28 21:09:36,2025-05-28 21:14:52,IP Address,100,316,True,2025-05-28 21:14:53,R_9SJHgvH1NJiiT5z,anonymous,EN,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Promoter,10,,,"The content was relevant, the team were engaging and the course duration and expectations were manageable. ",Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,"Most especially in language used and communication in future. ","Hearing from living experience - Autistic professionals ","More time or warning/sending through any reading materials that were needed to be pre-read or reviewed, before attending Webinars, so we felt prepared for break out room discussions. ",
