Issue Date,Badge Class Name,Student_ID_anonymised,Narrative,Expiration Date,Claim Code Used,Revoked,Revocation Reason,Recipient Type,Image Url
2026-08-20T04:29:01.184Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/Px9IO0PWRJyNSdq6FOq7Eg/image
2026-08-20T04:28:59.019Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/-t1cPHfRREOoc1z08xTC2Q/image
2026-08-20T04:28:58.554Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/fxGMA_KTSwyLh9Rbejxr5g/image
2026-08-20T04:28:57.486Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/sER8PnJkQNivmzbdueYfBA/image
2026-08-20T04:28:57.361Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/p0hcfm14QAqoo0GexXQaBg/image
2026-08-20T04:28:57.319Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/r-LN5pR_R1CFXQVnKmZXVw/image
2026-08-20T04:28:57.117Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/mdCzLGHPTMiGpXIQAxIovQ/image
2026-08-20T04:28:56.918Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/_1z3ni7eTvygrD1XqHNixw/image
2026-08-20T04:28:56.887Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/ekG5G1TqT1ykYjGep3dH6Q/image
2026-08-20T04:28:56.745Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/GwfA4BpATV2Q2uDav479UA/image
2026-08-20T04:28:56.682Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/q0mvS7vQRK2xIBR6NXYm6Q/image
2026-08-20T04:28:56.580Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/f6Th9ooHS8SpjwxWGqLPYw/image
2026-08-20T04:28:55.176Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/LmczKZX1T2iHHmRUYSzvDg/image
2026-08-20T04:28:55.162Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/I--wdvAyRhmnNj0lZjNH3w/image
2026-08-20T04:28:55.136Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/EnlPsdLkRfivGmRvOLffkw/image
2026-08-20T04:28:55.131Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/13I-_wAASeai4gecKf4Kdw/image
2026-08-20T04:28:55.131Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/QtEFaZ0EQguYQOwSDQMpeQ/image
2026-08-20T04:28:55.069Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/JKbtbgFDR860Bx7EmR5kCQ/image
2026-08-20T04:28:54.962Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/nNfI4mNcShGpRTeeDSoqYg/image
2026-08-20T04:28:54.931Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/LzRvWvBSTA-jFfh308Kl_A/image
2026-08-20T04:28:54.913Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/rv8IbO1MQOGs27W58Oq5xg/image
2026-08-20T04:28:54.879Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/cZlqA7u2SWiFFQB5w94Dkg/image
2026-08-20T04:28:54.873Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/5yPR6JVjSBeOW6HSlOMn3g/image
2026-08-20T04:28:54.868Z,Authorised Program Officer (APO) Professional Development,,,,,TRUE,Manually revoked by Issuer,email,https://badges.parchment.au/public/assertions/MreaLIz1Ruylu6RLBd0n6g/image
2026-08-19T22:00:00Z,Indigenous and Other Sovereignties,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/Y-aRINWVQ_OUpTfgRbmzxw/image
2026-08-19T14:00:00Z,Authorised Program Officer (APO) Professional Development,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/4iydFx4pTlCeDWtNxVVbKQ/image
2026-08-19T14:00:00Z,Authorised Program Officer (APO) Professional Development,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/q1ZLZaL0SEeAreB2kqbKJw/image
2026-08-19T14:00:00Z,Authorised Program Officer (APO) Professional Development,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/RGqMhzDFR4KSSzkGjlSfWQ/image
2026-08-19T14:00:00Z,Authorised Program Officer (APO) Professional Development,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/pJHrDH2TQieRiOO6oCzH-g/image
2026-08-19T14:00:00Z,Authorised Program Officer (APO) Professional Development,,,,,FALSE,,email,https://badges.parchment.au/public/assertions/n3zkVhNVRYGg7U9DsgEXxA/image
