StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_NPS_GROUP,Q2,Q2.1,Q2.2,Q2.3,Q3.0_1,Q3.0_2,Q3.0_3,Q3.0_4,Q4.0_1,Q4.0_2,Q4.0_3,Q4.0_4,Q4.0_5,Q5.0_1,Q5.0_2,Q5.0_3,Q5.0_4,Q5.0_5,Q6.0,Q7.0,Q8.0,Q16
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I found it intellectually engaging and stimulating,"To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I found it had clear expectations, including assessment requirements",To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I felt it was informed by the latest research and practice,To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I felt the learning resources were helpful,"To what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - Overall, I had a very good learning experience","Using a scale of 0 to 10, where 0 means very unlikely and 10 means very likely, how likely are you to recommend Melbourne MicroCerts to a friend or colleague? - Group","Using a scale of 0 to 10, where 0 means very unlikely and 10 means very likely, how likely are you to recommend Melbourne MicroCerts to a friend or colleague?",Why did you give this rating? Please specify.,Why did you give this rating? Please specify.,Why did you give this rating? Please specify.,"Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I received valuable feedback on my learning progress","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I had opportunities   to meaningfully interact and engage with peers","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I could manage the learning workload within the timeframe","Thinking about your learning experience, to what extent do you agree or disagree with the following statements made about the Melbourne MicroCert? - I am satisfied with the level of industry representation","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I learnt new ideas, approaches and/or skills","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I learnt to apply knowledge to practice","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I was challenged in my way of thinking","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I have developed skills which will help me in the workplace","Thinking about the impact of your learning, to what extent do you agree or disagree with the following statements about the Melbourne MicroCert? - I improved my understanding of concepts and principles in the field",To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They allowed me to demonstrate what I had learned,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They increased my understanding of core concepts,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They were applicable to my current workplace,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They were applicable to my future intended workplace,To what extent do you agree or disagree with the following statements about Melbourne MicroCert assessment tasks? - They had grading criteria that I could easily understand,How will you apply the concepts learned in this Melbourne MicroCert to your current or future intended workplace? Please provide an example.,What were the best aspects of this Melbourne MicroCert?,What aspects of this Melbourne MicroCert do you believe should be improved?,"Please tick if you consent to the possible use of your response to questions 6 and 7 for marketing purposes. e.g. testimonials, reviews"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID14_NPS_GROUP""}","{""ImportId"":""QID14""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID16""}"
2026-03-28 15:42:41,2026-03-28 15:51:54,IP Address,100,552,True,2026-03-28 15:51:54,R_4kNviUvpxumk3T9,anonymous,EN,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Detractor,2,"I did not find the way the course materials (especally the webinars) were presented engaging, I could have simply read the module on my own time, the webinars and discussion forums added nothing to my understanding or appreciation of the subject material.",,,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,"The course did not cover content that was new to me. ",I cant think of anything. I felt disengaged despite attempts to engage with other students on the discussion forum.,"If your role involves presenting content on Zoom, you should be able to use the technology, the presenters constant claims of technical ineptness were not engaging.  There is also little point in dedicating an entire welcome webinar to content that was easily readable and presented in emails.",
2026-03-28 18:45:26,2026-03-28 18:46:57,IP Address,100,91,True,2026-03-28 18:46:58,R_9fkOtfbmcYR8DHC,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,Excellent course,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,N/A,When contributing to the drafting of the new First Nations education strategy,The content,Nil,
2026-03-28 19:06:24,2026-03-28 19:12:11,IP Address,100,347,True,2026-03-28 19:12:12,R_4Csmkjab9P6if0B,anonymous,EN,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Promoter,10,,,"Matt was a really engaging instructor. Well developed course, and I have a much stronger understanding of treaties and treaty process now.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,In activities relating to advancing First Nations economic outcomes,Webinars and assessments,Unpacking where to with Victorian Treaty now would be good,
2026-03-29 03:17:45,2026-03-29 03:24:23,IP Address,100,397,True,2026-03-29 03:24:23,R_4Sov8twm2ySg2CC,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Passive,8,,"The tutor was well-informed, welcoming, facilitated discussion. The course had up to the minute content and a wide range of participants who had diverse views and challenged my thinking.",,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,N/A,Strongly agree,"Part of my role is to advise on the implementation of recommendations to the Yoorrook Justice Commission. ","The tutor's experience and knowledge. The opportunity to hear and read responses from fellow students. ","More assistance with researching the literature to expand reading beyond the course materials. ",I consent
2026-03-29 04:33:18,2026-03-29 04:35:48,IP Address,100,150,True,2026-03-29 04:35:49,R_9vdIOGp128ievmh,anonymous,EN,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Passive,8,,,,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I work in natural resource management so I will be applying the new Treaty and now I understand the foundations of an effective treatment, I will be able to better apply the new one",Short and sharp and targeted,nil,
2026-03-29 14:45:32,2026-03-29 14:47:56,IP Address,100,143,True,2026-03-29 14:47:56,R_937K2uIplHRQZPP,anonymous,EN,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Passive,7,,,,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,,,Had a lot of difficultly logging into the Canvas system. Only one link worked and when bookmarked could not log in again,I consent
2026-03-29 16:37:25,2026-03-29 16:38:58,IP Address,100,93,True,2026-03-29 16:38:58,R_9spqQTySRDtgaaJ,anonymous,EN,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Passive,7,,,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,,,,
2026-03-29 16:55:49,2026-03-29 16:56:52,IP Address,100,62,True,2026-03-29 16:56:52,R_4Lc2iw3bz3UAE4K,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,,,,
2026-03-29 16:50:05,2026-03-29 17:09:10,IP Address,100,1144,True,2026-03-29 17:09:10,R_9Xmq3EFVb4zMllY,anonymous,EN,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Promoter,9,,,,Strongly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,," Engagement with and lived experience of other students","It would be useful for the cert to also cover the Victorian Statewide Treaty, now that it has been signed/agreed. ",I consent
2026-03-29 17:11:46,2026-03-29 17:19:15,IP Address,100,448,True,2026-03-29 17:19:16,R_9UBcwV67jVG7weB,anonymous,EN,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Passive,8,,"It was an engaging course and made me think. There was flexibility and understanding about juggling with work. Would recommend. ",,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Improved understanding of Treaty and what it needs to be successful will be applied to my work writing comms materials about Victoria's Treaty.,"The frankness and acknowledgement of past failures, the emphasis on getting Treaty right and supporting First Peoples","The assessment criteria didn't seem to fit what was required - 500 words won't fit into a venn diagram and 750 words doesn't work in 5 power point slides. People were confused by those instructions/options. Also the dates for submission were different in two places/unclear. ",
2026-03-29 17:46:59,2026-03-29 18:06:53,IP Address,100,1194,True,2026-03-29 18:06:54,R_9B4zsUT2CRo3DBI,anonymous,EN,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Promoter,10,,,It was a great way to get some professional learning in in a short timeframe,Slightly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,,,,I consent
2026-03-29 20:15:30,2026-03-29 20:18:32,IP Address,100,181,True,2026-03-29 20:18:32,R_91F6rJCqenjhVqa,anonymous,EN,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Passive,8,,"While interesting, the content could be updated to include the current status of Treaty in Victoria.  ",,Strongly agree,Strongly agree,Slightly disagree,Neither agree nor disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,N/A,N/A,Strongly agree,,,,
2026-03-29 23:37:12,2026-03-29 23:42:43,IP Address,100,331,True,2026-03-29 23:42:43,R_4E9ZyQUK47gA7Hl,anonymous,EN,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Passive,7,,Information relating to assignments was either out dated (eg one assignment on a course about Treaty in Victoria was still framed as though there was no Treaty) and descriptors for assignments were so generic even the lecturer couldn't explain the guidance.,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Improved understanding of the 'how' of Treaty which provides an opportunity to consider its application to regulation and data sharing.,Opportunity for a deep dive into Treaty and better understand history and contemporary application.,Ensure the information provided around all aspects of the course are contemporary and relevant to the subject.,
2026-04-01 02:20:35,2026-04-01 02:35:34,IP Address,100,899,True,2026-04-01 02:35:35,R_42kXxl3MDDAsidL,anonymous,EN,Strongly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Passive,7,,"Lectures, online leaning and reading were engaging. ",,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,I will use it to provide advice to government on new policies and programs for First Peoples as well as advice on how to safeguard and enhance treaty process,Lectures and online material,Creating opportunities for structured discussion with peers including through prompts,I consent
